#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
0.1	0.180967483607192	0.06389897377022	0.0347738638127427	0.0225843931569279
0.2	0.327492301231193	0.11516700134962	0.062626691961835	0.0406630761694378
0.3	0.444490932409031	0.155196173921635	0.084281844469313	0.0546980889148545
0.4	0.536256036828512	0.185257621589571	0.100407553707663	0.0651181328513212
0.5	0.606530659712633	0.206510743088694	0.111620424160486	0.0723205062583567
0.6	0.658573963312832	0.22001178673765	0.118488734784638	0.0766729424249147
0.7	0.695219425307973	0.226721825721981	0.121535554225146	0.0785153551695204
0.8	0.718926342587555	0.227514168056198	0.121241678633223	0.0781614958938447
0.9	0.731825387533078	0.223181238994164	0.118048401360203	0.0759005261950686
1	0.735758882342885	0.214440971240177	0.112360123344896	0.07199850989332
1.1	0.732316384135775	0.201942736045546	0.104546812577977	0.0666998281680723
1.2	0.722866108589285	0.186272846148562	0.0949463206133675	0.0602285213414237
1.3	0.708582661888433	0.167959659521068	0.0838665637024367	0.0527895606963914
1.4	0.690471499036498	0.147478311014365	0.0715875757512026	0.0445700535745217
1.5	0.669390480445289	0.125255097243332	0.0583634399428084	0.0357403848590032
1.6	0.646068857582897	0.101671538403461	0.0444241055265423	0.0264552978168732
1.7	0.621123981779298	0.0770681391741395	0.0299770959498093	0.0168549171466048
1.8	0.595075997597712	0.0517478694169113	0.0152091141999977	0.0070657169551588
1.9	0.568360753046013	0.0259793840235318	0.00028755092843392	-0.00279856372870933
2	0.541341132946451	0	-0.0146380993521002	-0.0126360554106799
2.1	0.514316998662524	-0.0259815523159138	-0.0294349089721438	-0.0223559401704673
2.2	0.487533896794269	-0.051782588119642	-0.0439852699430227	-0.0318776790022935
2.3	0.461190681124897	-0.0772441223463207	-0.0581857243997572	-0.0411302822732216
2.4	0.43544617578918	-0.102228705454683	-0.0719458683528759	-0.0500516212117752
2.5	0.410424993119494	-0.126618427938947	-0.085187324672216	-0.0585877784308302
2.6	0.386222606714536	-0.150313081575758	-0.0978427814348153	-0.0666924355765881
2.7	0.362909768794649	-0.173228466215018	-0.109855091967927	-0.0743262962796818
2.8	0.340536350701221	-0.195294831673899	-0.121176433107473	-0.0814565426652509
2.9	0.319134676327162	-0.216455444995688	-0.131767518372365	-0.0880563237562917
3	0.298722410207184	-0.236665273992293	-0.141596862926441	-0.094104274178874
3.1	0.279305054840058	-0.255889778604121	-0.150640097362765	-0.0995840616490292
3.2	0.260878105461544	-0.274103802186188	-0.158879327500047	-0.104483961789391
3.3	0.243428904848184	-0.291290555367223	-0.166302537528354	-0.10879645888911
3.4	0.226938235730217	-0.307440685631612	-0.172903033981461	-0.112517871283277
3.5	0.211381683956229	-0.322551426244261	-0.178678928146489	-0.115648000088219
3.6	0.196730801620506	-0.336625818578153	-0.183632654648116	-0.118189800086592
3.7	0.182954095880511	-0.349672002315233	-0.187770524065142	-0.120149071611418
3.8	0.170017866106859	-0.361702568375216	-0.191102307551589	-0.121534172331043
3.9	0.157886909277274	-0.372733969785652	-0.193640851543277	-0.122355747887653
4	0.146525111109873	-0.382785986041644	-0.195401720734172	-0.122626480390481
4.1	0.135895938294442	-0.391881236816543	-0.196402867604931	-0.122360853811263
4.2	0.125962845292013	-0.400044741177162	-0.196664326879333	-0.121574935374011
4.3	0.116689607504928	-0.407303518729783	-0.196207933372805	-0.120286172073706
4.4	0.108040591147002	-0.413686229377836	-0.195057061781352	-0.118513201499306
4.5	0.0999809688441808	-0.419222848609676	-0.19323638703903	-0.116275676175464
4.6	0.0924768888506289	-0.423944375456495	-0.190771663947844	-0.113594100674672
4.7	0.0854956047559407	-0.42788257046712	-0.187689524855918	-0.110489680787309
4.8	0.0790055716705922	-0.43106972123919	-0.18401729422799	-0.106984184071214
4.9	0.0729765140950585	-0.433538433225884	-0.179782819017077	-0.103099811135125
5	0.0673794699908547	-0.435321443704854	-0.175014313807537	-0.0988590770416021
5.1	0.0621868149682595	-0.436451456952071	-0.169740219758061	-0.0942847022449472
5.2	0.057372269975912	-0.43696099880863	-0.163989076428342	-0.0893995125082574
5.3	0.0529108954132483	-0.436882288963976	-0.157789405625577	-0.0842263472710637
5.4	0.0487790741802168	-0.436247129405015	-0.151169606456583	-0.0787879759651734
5.5	0.0449544858231047	-0.435086807597898	-0.144157860818403	-0.073107021801291
5.6	0.0414160736246088	-0.433432013078436	-0.136782048604856	-0.0672058925728859
5.7	0.0381440062151725	-0.431312766228621	-0.129069671948721	-0.0611067180465673
5.8	0.0351196350463594	-0.428758358111149	-0.12104778785929	-0.0548312935300252
5.9	0.0323254488614668	-0.425797300321641	-0.112742948652914	-0.0484010292294014
6	0.0297450261199963	-0.422457283899778	-0.104181149610017	-0.0418369050278306
6.1	0.0273629861777268	-0.418765146416393	-0.0953877833260737	-0.0351594303358645
6.2	0.0251649398900671	-0.41474684642388	-0.0863876002561332	-0.0283886086826058
6.3	0.0231374401905642	-0.410427444522648	-0.0772046749829184	-0.0215439067336646
6.4	0.0212679330966264	-0.405831090356905	-0.0678623777672894	-0.0146442274385455
6.5	0.0195447095087084	-0.400981014909352	-0.0583833509670617	-0.00770788702581521
6.6	0.0179568580956322	-0.395899527516421	-0.0487894899358946	-0.000752595579407796
6.7	0.0164942194958246	-0.390608017074066	-0.0391019280382846	0.006204559056254
6.8	0.0151473420106893	-0.385126956948835	-0.0293410254396624	0.0131471242809953
6.9	0.0139074389208694	-0.37947591315042	-0.019526361352315	0.0200592928791497
7	0.0127663475177632	-0.373673555360204	-0.00967672943833398	0.0269259105085976
7.1	0.0117164899103758	-0.367737670445847	0.000189863909830406	0.0337324807400338
7.2	0.0107508356406242	-0.361685178124726	0.0100561986723791	0.0404651678366445
7.3	0.00986286611783012	-0.355532148469366	0.019905837932651	0.0471107974536676
7.4	0.00904654086471767	-0.349293820976001	0.0297231224627481	0.0536568554270957
7.5	0.0082962655522175	-0.342984624943246	0.039493163376615	0.0600914848110621
7.6	0.00760686178829728	-0.336618200931673	0.049201833048435	0.0664034813142093
7.7	0.00697353861645667	-0.330207423097098	0.0588357544805757	0.0725822872765375
7.8	0.00639186567208467	-0.323764422210583	0.0683822892924853	0.0786179843198653
7.9	0.00585774793925359	-0.317300609196823	0.0778295244898485	0.0845012847970729
8	0.00536740204644019	-0.310826699039711	0.0871662581619349	0.0902235221577418
8.1	0.00491733403687764	-0.304352734919632	0.0963819842443621	0.0957766403406042
8.2	0.00450431854754313	-0.297888112461497	0.105466876474429	0.101153182296401
8.3	0.004125379329992	-0.291441603985824	0.1144117716567	0.106346277738245
8.4	0.00377777104620465	-0.285021382667309	0.12320815234762	0.111349630210437
8.5	0.00345896227318095	-0.278635046516508	0.1318481290596	0.116157503560837
8.6	0.00316661965108236	-0.272289642110413	0.14032442207712	0.120764707896344
8.7	0.00289859311118482	-0.265991688007052	0.148630342970086	0.125166585095768
