#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
0.1	0.180547825687731	0.0639444025444686	-0.0348240378642845	0.0244792062512407
0.2	0.326787073227555	0.115259685797971	-0.0627219498653869	0.0440775261698375
0.3	0.44360735509492	0.155336969817675	-0.0844173369240826	0.0592950214594483
0.4	0.535278851763129	0.185446555862981	-0.100578670283174	0.0705957400289539
0.5	0.605525878884082	0.206747141106182	-0.111822790513272	0.0784098001798784
0.6	0.65759206671251	0.220294385918669	-0.118718209208255	0.083135370697941
0.7	0.694298081538136	0.227048876718272	-0.121788223614806	0.0851405515282291
0.8	0.718092717931771	0.227883524625182	-0.121513853940038	0.0847651595191913
0.9	0.731098100442954	0.223590437604405	-0.118336612604018	0.0823224235336382
1	0.735149652871839	0.214887301362388	-0.112661114249133	0.0781005930455704
1.1	0.73183142135403	0.202423302004165	-0.104857534884666	0.0723644641690754
1.2	0.722507273332599	0.186784621336482	-0.0952639281317228	0.0653568268999037
1.3	0.708348437226651	0.168499533713134	-0.0841884061397509	0.0572998371911423
1.4	0.690357796511019	0.148043131453472	-0.0719111923706275	0.0483963173315505
1.5	0.669391306338837	0.125841704115834	-0.0586865530886246	0.0388309879482494
1.6	0.64617686018412	0.102276795268016	-0.0447446140538633	0.0287716348144947
1.7	0.621330897728224	0.0776889588594717	-0.0302930685922353	0.0183702135078118
1.8	0.595373012894101	0.0523812358592862	-0.0155187829055508	0.00776389483377617
1.9	0.568738792124495	0.0266223704734469	-0.000589304191161297	-0.00292394619411505
2	0.541791087329814	0.000649783989586908	0.0143457231402159	-0.0135827951478898
2.1	0.514829905061499	-0.0253276768882182	0.0291532281268839	-0.0241141141962974
2.2	0.488101073097533	-0.0511272014627744	0.0437154660315032	-0.0344305068886264
2.3	0.461803827488959	-0.0765896715138648	0.0579288487043195	-0.044454929371963
2.4	0.436097446970363	-0.101577499078136	0.0717028482397942	-0.0541199458044759
2.5	0.411107047267723	-0.125972632714358	0.0849589698515191	-0.0633670258248129
2.6	0.386928635052873	-0.14967472028407	0.097629790099353	-0.072145882031445
2.7	0.363633509922774	-0.17259941707743	0.109658056801287	-0.0804138455155036
2.8	0.341272092671246	-0.194676828862902	0.120995847151889	-0.0881352775769649
2.9	0.319877249133564	-0.215850080140025	0.131603780749087	-0.0952810158365768
3	0.299467170898453	-0.236073998530325	0.141450284402261	-0.101827853035315
3.1	0.280047867088126	-0.25531390685482	0.150510905757555	-0.107758046889078
3.2	0.261615315107893	-0.273544515020517	0.158767672931154	-0.113058859439331
3.3	0.244157312675388	-0.29074890437501	0.166208497488715	-0.117722124410241
3.4	0.227655068478117	-0.306917597690289	0.172826618249078	-0.121743841149888
3.5	0.212084564407541	-0.322047708406079	0.178620083523786	-0.125123793797366
3.6	0.197417718416349	-0.336142163201894	0.183591269530323	-0.127865194379164
3.7	0.1836233735881	-0.349208992376852	0.187746432837576	-0.12997434859721
3.8	0.170668135945701	-0.361260682899672	0.1910952948162	-0.131460343127491
3.9	0.158517080813389	-0.372313589349144	0.193650656175459	-0.132334753302395
4	0.147134345147109	-0.382387398299837	0.195428039771215	-0.132611370101728
4.1	0.13648362112558	-0.391504642020157	0.196445359967943	-0.132305945427153
4.2	0.126528564417758	-0.399690257641418	0.196722616930853	-0.131435954682386
4.3	0.117233128884491	-0.406971188229031	0.196281614312651	-0.130020375727062
