t	theta(x)	omega(t)
0	3.04159265358979	0
0	3.04159265358979	0
0.0468586319480301	3.04104627227792	-0.0232961745798691
0.0985570081093625	3.03917843497755	-0.0489875870673486
0.150038058474636	3.03599192503151	-0.0748863369992439
0.20186809510055	3.03142139114764	-0.101618407873372
0.253804878125044	3.02542698097148	-0.129414068854859
0.305706094647208	3.01796069383788	-0.158554935638233
0.357416617740004	3.00897474857625	-0.189310833882564
0.408790979644289	2.99842042693322	-0.221945752979317
0.459697442983758	2.98624806980114	-0.256715493876675
0.510022459210045	2.97240648104064	-0.293867187919092
0.559672816027047	2.95684221513955	-0.333639217112243
0.608575902848781	2.93949888187701	-0.376261463884193
0.656678495911508	2.92031660192345	-0.421955632361414
0.703944615322126	2.8992316739755	-0.470935455016229
0.750352961778786	2.87617645707894	-0.523406659291331
0.795894326638925	2.85107942947403	-0.579566635740984
0.840569227153431	2.82386536504716	-0.639603794944454
0.884385907625872	2.79445555508702	-0.703696646603203
0.927358754202641	2.76276800359893	-0.772012653168855
0.969507128895258	2.7287175150967	-0.844706947719165
1.01085459418046	2.69221559188985	-0.921921018613199
1.05142849517425	2.65317004369808	-1.0037814926961
1.09129747205684	2.61144318939867	-1.09048399327184
1.13127299258205	2.56600350260466	-1.18402400982331
1.17127689472059	2.51664996396624	-1.2846022246678
1.21133344120263	2.46305475947353	-1.39261715041908
1.25146845512964	2.40486360538557	-1.5084381570186
1.29172454215207	2.34167051980431	-1.63243265762274
1.33216591029723	2.27299965111972	-1.76496925780861
1.37288762888594	2.19827371230357	-1.90643325679032
1.41403020190831	2.11676199107712	-2.05725848913428
1.45580464026437	2.02748924825881	-2.21799261306009
1.49853986469438	1.92906267738078	-2.38943592455813
1.54278481237705	1.81930134958056	-2.57296637108406
1.58957500169781	1.69428044570114	-2.7714438373225
1.64140190448347	1.54490811875384	-2.99267402375399
1.6994069201644	1.36423731959503	-3.23522229788819
1.6994069201644	1.36423731959503	-3.23522229788819
1.74436804770692	1.21472443060886	-3.41365338442341
1.74436804770692	1.21472443060886	-3.41365338442341
1.78630007738926	1.06830592680837	-3.56756206246502
1.78630007738926	1.06830592680837	-3.56756206246502
1.82644980646324	0.922365077537492	-3.69939196567939
1.82644980646324	0.922365077537492	-3.69939196567939
1.8641457231774	0.780850401808032	-3.80573728308422
1.8641457231774	0.780850401808032	-3.80573728308422
1.89918921913446	0.646012289165087	-3.88664014246659
1.89918921913446	0.646012289165087	-3.88664014246659
1.93266375585844	0.514869465640464	-3.94559763844818
1.96643404945935	0.380898653362951	-3.98518990998353
1.99884578952074	0.251386099534465	-4.0031684889378
2.03057620783645	0.124345713336607	-4.00101789193365
2.06194364613651	-0.000867323817057258	-3.97937631290271
2.09324966485335	-0.12485615388653	-3.93853548992766
2.12477792805833	-0.248133544804254	-3.87848104415436
2.15682356581142	-0.371195041869808	-3.79888628494669
2.18972063059793	-0.494573231956584	-3.69904458593931
2.2238818486867	-0.618912981984047	-3.5777096816475
2.25986834883626	-0.745102958400764	-3.43275572956521
2.29853857915893	-0.874565997303611	-3.2603940314498
2.34145349753137	-1.01008802283189	-3.05297736793258
2.38561994554801	-1.13996264773129	-2.82631314318841
2.431737877916	-1.2646575156263	-2.58008927647723
2.48140810160398	-1.38609244844696	-2.30890171720832
2.53800933802464	-1.50797147777215	-1.99771338303166
2.59502707477039	-1.61298487890915	-1.68651351250603
2.59502707477039	-1.61298487890915	-1.68651351250603
2.64465800005588	-1.69005392377908	-1.41998314141333
2.64465800005588	-1.69005392377908	-1.41998314141333
2.69111218802452	-1.75031574625876	-1.17530133093247
2.69111218802452	-1.75031574625876	-1.17530133093247
2.73581504093524	-1.79768106753592	-0.944603772958753
2.78080619470454	-1.83504512502725	-0.717115159002242
2.82583912514489	-1.86229565031291	-0.493833556614675
2.87134752675261	-1.87971152072894	-0.272173746379661
2.91754945767922	-1.88715514442821	-0.0505624136127554
2.96460255522517	-1.88428043740951	0.172350336743331
3.01260746067402	-1.87059125224724	0.397689016401707
3.06162783127076	-1.84548629415828	0.626401333218611
3.11173056800168	-1.80826353017973	0.859364397896172
3.16308239859121	-1.75801237168885	1.09771222244717
3.21742524684197	-1.6915154931868	1.34949078298923
3.27793490089754	-1.60140577355513	1.62851138331686
3.34316613364012	-1.48546132227346	1.92539061797728
3.34316613364012	-1.48546132227346	1.92539061797728
3.40176258021134	-1.36498972739577	2.18503446262835
3.40176258021134	-1.36498972739577	2.18503446262835
3.45254871650965	-1.24849301247658	2.40096144961341
3.45254871650965	-1.24849301247658	2.40096144961341
3.49973479892243	-1.13068123850348	2.59044143522988
3.49973479892243	-1.13068123850348	2.59044143522988
3.54458035459047	-1.01071784446438	2.75716752791954
3.58968176805449	-0.882890784564493	2.90817172878145
3.58968176805449	-0.882890784564493	2.90817172878145
3.62938514730211	-0.765063547415084	3.02436476677689
3.62938514730211	-0.765063547415084	3.02436476677689
3.6667616379479	-0.650236590901498	3.11711522300888
3.6667616379479	-0.650236590901498	3.11711522300888
3.70253937085707	-0.53737607384938	3.18897048858523
3.73860781534221	-0.421321230587286	3.24311021522073
3.77324127086088	-0.308366908633493	3.27664115940781
3.80707727616303	-0.197201376832349	3.2911467164213
3.84040879924573	-0.0875154441634983	3.28735670593532
3.87351147438403	0.0209957573702696	3.26572026950119
3.90663563662301	0.128567600542223	3.2264415098686
3.94002769707835	0.235401989612181	3.16950447039203
3.97394596691723	0.341683904880931	3.09466413134847
4.00867913400717	0.447598551679942	3.00140288777126
4.04457137476045	0.553352297773431	2.88883842847723
4.0820623207288	0.65920598394161	2.75554646689187
4.12176017414347	0.76553978908927	2.59920764572049
4.1645979646172	0.87300527714146	2.41582387386013
4.21224824465182	0.982972826833354	2.19760415194442
4.26873824707206	1.09946658442479	1.92467517062573
4.33663200196684	1.21862394379078	1.58371202113174
4.33663200196684	1.21862394379078	1.58371202113174
4.39795004362701	1.30612236196085	1.26965843684445
4.39795004362701	1.30612236196085	1.26965843684445
4.4520705656152	1.36729945098923	0.991104169842087
4.50702907749382	1.41401092844863	0.70904156505296
4.5612400594432	1.44495266470015	0.432916507117533
4.61648044920334	1.46116292211878	0.154535884075999
4.67369043601429	1.46184490108015	-0.13001984361747
4.73388612804644	1.44512092917011	-0.424796799863059
4.79860886269984	1.40752915382789	-0.735699897557044
4.87204940891256	1.34081664047724	-1.07923222992915
4.87204940891256	1.34081664047724	-1.07923222992915
4.94166350844923	1.25468912142395	-1.39294298631328
4.94166350844923	1.25468912142395	-1.39294298631328
5.00173311826862	1.16319667376043	-1.6510071591446
5.00173311826862	1.16319667376043	-1.6510071591446
5.05667608505938	1.06630699455953	-1.87345071812371
5.05667608505938	1.06630699455953	-1.87345071812371
5.10697569751798	0.967251653925271	-2.06258273293011
